Date,Price
2020-08-17,2035.40
2020-08-18,2032.20
2020-08-19,2029.00
2020-08-20,2021.90
2020-08-21,2014.80
2020-08-24,1998.70
2020-08-25,1982.60
2020-08-26,1969.40
2020-08-27,1956.20
2020-08-28,1945.90
2020-08-31,1935.60
2020-09-01,1941.30
2020-09-02,1947.00
2020-09-03,1935.20
2020-09-04,1923.40
2020-09-08,1921.70
2020-09-09,1920.00
2020-09-10,1932.80
2020-09-11,1945.60
2020-09-14,1951.30
2020-09-15,1957.00
2020-09-16,1954.20
2020-09-17,1951.40
2020-09-18,1948.60
2020-09-21,1938.90
2020-09-22,1929.20
2020-09-23,1919.50
2020-09-24,1909.80
2020-09-25,1898.60
2020-09-28,1887.40
2020-09-29,1876.20
2020-09-30,1865.00
2020-10-01,1886.90
2020-10-02,1908.80
2020-10-05,1919.40
2020-10-06,1930.00
2020-10-07,1915.80
2020-10-08,1901.60
2020-10-09,1894.30
2020-10-12,1887.00
2020-10-13,1889.60
2020-10-14,1892.20
2020-10-15,1897.80
2020-10-16,1903.40
2020-10-19,1912.50
2020-10-20,1921.60
2020-10-21,1918.90
2020-10-22,1916.20
2020-10-23,1913.50
2020-10-26,1910.80
2020-10-27,1908.10
2020-10-28,1899.60
2020-10-29,1891.10
2020-10-30,1882.60
2020-11-02,1878.30
2020-11-03,1874.00
2020-11-04,1896.80
2020-11-05,1919.60
2020-11-06,1929.40
2020-11-09,1939.20
2020-11-10,1923.50
2020-11-11,1907.80
2020-11-12,1892.10
2020-11-13,1876.40
2020-11-16,1875.60
2020-11-17,1874.80
2020-11-18,1877.90
2020-11-19,1881.00
2020-11-20,1869.50
2020-11-23,1858.00
2020-11-24,1862.30
2020-11-25,1866.60
2020-11-27,1868.90
2020-11-30,1871.20
2020-12-01,1841.90
2020-12-02,1812.60
2020-12-03,1815.80
2020-12-04,1819.00
2020-12-07,1838.50
2020-12-08,1858.00
2020-12-09,1872.30
2020-12-10,1886.60
2020-12-11,1893.80
2020-12-14,1901.00
2020-12-15,1839.60
2020-12-16,1778.20
2020-12-17,1784.90
2020-12-18,1791.60
2020-12-21,1844.80
2020-12-22,1898.00
2020-12-23,1901.30
2020-12-24,1904.60
2020-12-28,1878.90
2020-12-29,1853.20
2020-12-30,1889.40
2020-12-31,1925.60
2021-01-04,1938.70
2021-01-05,1951.80
2021-01-06,1920.60
2021-01-07,1889.40
2021-01-08,1851.30
2021-01-11,1813.20
2021-01-12,1826.40
2021-01-13,1839.60
2021-01-14,1852.80
2021-01-15,1866.00
2021-01-19,1842.90
2021-01-20,1819.80
2021-01-21,1855.40
2021-01-22,1891.00
2021-01-25,1866.30
2021-01-26,1841.60
2021-01-27,1858.20
2021-01-28,1874.80
2021-01-29,1865.90
2021-02-01,1857.00
2021-02-02,1845.60
2021-02-03,1834.20
2021-02-04,1839.80
2021-02-05,1845.40
2021-02-08,1835.90
2021-02-09,1826.40
2021-02-10,1820.60
2021-02-11,1814.80
2021-02-12,1809.00
2021-02-16,1803.20
2021-02-17,1797.40
2021-02-18,1791.60
2021-02-19,1785.80
2021-02-22,1780.00
2021-02-23,1816.90
2021-02-24,1853.80
2021-02-25,1807.60
2021-02-26,1761.40
2021-03-01,1734.60
2021-03-02,1707.80
2021-03-03,1717.40
2021-03-04,1727.00
2021-03-05,1736.60
2021-03-08,1746.20
2021-03-09,1755.80
2021-03-10,1722.90
2021-03-11,1690.00
2021-03-12,1714.30
2021-03-15,1738.60
2021-03-16,1762.90
2021-03-17,1787.20
2021-03-18,1753.80
2021-03-19,1720.40
2021-03-22,1737.60
2021-03-23,1754.80
2021-03-24,1748.90
2021-03-25,1743.00
2021-03-26,1737.10
2021-03-29,1731.20
2021-03-30,1725.30
2021-03-31,1719.40
2021-04-01,1738.90
2021-04-05,1758.40
2021-04-06,1777.90
2021-04-07,1797.40
2021-04-08,1783.60
2021-04-09,1769.80
2021-04-12,1756.00
2021-04-13,1742.20
2021-04-14,1746.30
2021-04-15,1750.40
2021-04-16,1777.40
2021-04-19,1804.40
2021-04-20,1791.80
2021-04-21,1779.20
2021-04-22,1766.60
2021-04-23,1754.00
2021-04-26,1741.40
2021-04-27,1777.80
2021-04-28,1814.20
2021-04-29,1804.90
2021-04-30,1795.60
2021-05-03,1786.30
2021-05-04,1777.00
2021-05-05,1824.60
2021-05-06,1872.20
2021-05-07,1841.30
2021-05-10,1810.40
2021-05-11,1826.90
2021-05-12,1843.40
2021-05-13,1859.90
2021-05-14,1876.40
2021-05-17,1869.80
2021-05-18,1863.20
2021-05-19,1856.60
2021-05-20,1850.00
2021-05-21,1843.40
2021-05-24,1886.80
2021-05-25,1930.20
2021-05-26,1911.60
2021-05-27,1893.00
2021-05-28,1874.40
2021-06-01,1908.90
2021-06-02,1943.40
2021-06-03,1916.80
2021-06-04,1890.20
2021-06-07,1898.50
2021-06-08,1906.80
2021-06-09,1915.10
2021-06-10,1923.40
2021-06-11,1889.70
2021-06-14,1856.00
2021-06-15,1862.40
2021-06-16,1868.80
2021-06-17,1847.60
2021-06-18,1826.40
2021-06-21,1805.20
2021-06-22,1784.00
2021-06-23,1778.90
2021-06-24,1773.80
2021-06-25,1768.70
2021-06-28,1763.60
2021-06-29,1758.50
2021-06-30,1763.90
2021-07-01,1769.30
2021-07-02,1774.70
2021-07-06,1780.10
2021-07-07,1812.80
2021-07-08,1845.50
2021-07-09,1823.40
2021-07-12,1801.30
2021-07-13,1810.20
2021-07-14,1819.10
2021-07-15,1828.00
2021-07-16,1836.90
2021-07-19,1829.80
2021-07-20,1822.70
2021-07-21,1815.60
2021-07-22,1808.50
2021-07-23,1801.40
2021-07-26,1794.30
2021-07-27,1787.20
2021-07-28,1819.60
2021-07-29,1852.00
2021-07-30,1844.40
2021-08-02,1836.80
2021-08-03,1829.20
2021-08-04,1821.60
2021-08-05,1814.00
2021-08-06,1806.40
2021-08-09,1756.90
2021-08-10,1707.40
2021-08-11,1737.80
2021-08-12,1768.20
2021-08-13,1798.60
2021-08-16,1829.00
2021-08-17,1806.40
2021-08-18,1783.80
2021-08-19,1761.20
2021-08-20,1738.60
2021-08-23,1768.90
2021-08-24,1799.20
2021-08-25,1829.50
2021-08-26,1859.80
2021-08-27,1847.20
2021-08-30,1834.60
2021-08-31,1822.00
2021-09-01,1809.40
2021-09-02,1796.80
2021-09-03,1784.20
2021-09-07,1771.60
2021-09-08,1759.00
2021-09-09,1746.40
2021-09-10,1733.80
2021-09-13,1793.20
2021-09-14,1852.60
2021-09-15,1834.90
2021-09-16,1817.20
2021-09-17,1799.50
2021-09-20,1781.80
2021-09-21,1764.10
2021-09-22,1746.40
2021-09-23,1728.70
2021-09-24,1711.00
2021-09-27,1744.30
2021-09-28,1777.60
2021-09-29,1810.90
2021-09-30,1844.20
2021-10-01,1767.50
2021-10-04,1690.80
2021-10-05,1721.40
2021-10-06,1752.00
2021-10-07,1782.60
2021-10-08,1813.20
2021-10-11,1790.80
2021-10-12,1768.40
2021-10-13,1746.00
2021-10-14,1723.60
2021-10-15,1701.20
2021-10-18,1678.80
2021-10-19,1656.40
2021-10-20,1634.00
2021-10-21,1611.60
2021-10-22,1589.20
2021-10-25,1566.80
2021-10-26,1544.40
2021-10-27,1522.00
2021-10-28,1499.60
2021-10-29,1477.20
2021-11-01,1454.80
2021-11-02,1432.40
2021-11-03,1410.00
2021-11-04,1434.50
2021-11-05,1459.00
2021-11-08,1483.50
2021-11-09,1508.00
2021-11-10,1532.50
2021-11-11,1557.00
2021-11-12,1581.50
2021-11-15,1606.00
2021-11-16,1630.50
2021-11-17,1655.00
2021-11-18,1679.50
2021-11-19,1704.00
2021-11-22,1728.50
2021-11-23,1753.00
2021-11-24,1777.50
2021-11-26,1802.00
2021-11-29,1826.50
2021-11-30,1851.00
2021-12-01,1825.40
2021-12-02,1799.80
2021-12-03,1774.20
2021-12-06,1748.60
2021-12-07,1723.00
2021-12-08,1697.40
2021-12-09,1671.80
2021-12-10,1646.20
2021-12-13,1620.60
2021-12-14,1595.00
2021-12-15,1619.50
2021-12-16,1644.00
2021-12-17,1668.50
2021-12-20,1693.00
2021-12-21,1717.50
2021-12-22,1742.00
2021-12-23,1766.50
2021-12-27,1791.00
2021-12-28,1815.50
2021-12-29,1840.00
2021-12-30,1864.50
2021-12-31,1889.00
